буквавес черного;Удельный вес;Координаты центра тяжести x;Координаты центра тяжести y;Нормированные координаты центра тяжести x;Нормированные координаты центра тяжести y;Осевые моменты инерции по x;Нормированные осевые моменты инерции по x;Осевые моменты инерции по  y;Нормированные осевые моменты инерции по y
ա;283;0.4812925170068027;13.335689045936396;8.63250883392226;0.45687737207171836;0.381625441696113;129.21985541085544;0.10548559625375954;236.15978473947735;0.19278349774651213
բ;262;0.5019157088122606;10.141221374045802;16.0381679389313;0.5377189043556354;0.5370774263904036;143.0854262572111;0.1228201083752885;0.9251209136996662;0.0007940952048924174
գ;359;0.5626959247648903;10.33983286908078;15.493036211699165;0.4447539461467038;0.517608436132113;156.4241432018684;0.11805595713348557;30.326650165656684;0.02288803786087297
դ;361;0.5927750410509032;10.470914127423823;15.745152354570637;0.47354570637119114;0.5266125840918084;150.1812908126856;0.11714609267760187;18.103728485815797;0.014121473077859437
ե;262;0.5019157088122606;9.759541984732824;11.961832061068701;0.515267175572519;0.39149400218102504;257.2228308373638;0.22079212947413202;25.383136180875248;0.021788099726073176
զ;362;0.567398119122257;10.306629834254144;15.058011049723756;0.44317284925019734;0.5020718232044199;79.95916638686244;0.06034654066933014;35.30723268520498;0.026646968064305644
է;264;0.5689655172413793;9.704545454545455;13.113636363636363;0.5803030303030303;0.43262987012987014;221.6038223140496;0.20200895379585196;3.5583677685950423;0.0032437263159480786
ը;235;0.4501915708812261;9.6;13.953191489361702;0.5058823529411764;0.4626139817629179;100.93836124943414;0.0866423701711881;9.283042100497966;0.007968276481114133
թ;359;0.5158045977011494;13.337047353760445;16.568245125348188;0.5363933632069758;0.556008754476721;130.68501951412546;0.09222654870439341;41.367470767607344;0.02919369849513574
ժ;397;0.5952023988005997;10.982367758186397;13.073047858942065;0.4537439890084726;0.4311802806765023;222.81390022143407;0.16263788337330953;79.69047452873885;0.05816822958302106
ի;365;0.5802861685214626;9.276712328767124;18.65205479452055;0.5172945205479452;0.4903348554033486;300.95120285231746;0.18151459761900932;7.033394633139429;0.00424209567740617
լ;125;0.4789272030651341;6.0;12.0;0.625;0.39285714285714285;144.0;0.1561822125813449;16.0;0.01735357917570499
խ;664;0.640926640926641;14.643072289156626;17.96987951807229;0.5052989736724677;0.47138554216867473;325.08524459282916;0.15099175317827643;81.54307591813034;0.03787416438371126
ծ;314;0.5508771929824562;9.003184713375797;12.9171974522293;0.44462137296532206;0.41093784318032067;258.65653779057976;0.205120172712593;25.83488173962433;0.02048761438511049
կ;366;0.5818759936406995;7.871584699453552;17.37431693989071;0.429474043715847;0.4548421372191864;107.62645196930337;0.0649134209706293;1.888747051270569;0.0011391719247711514
հ;261;0.5294117647058824;8.988505747126437;13.134099616858238;0.4992816091954023;0.43336070060207993;4.55438117467448;0.004030425818295999;8.213385006092096;0.007268482306276192
ձ;286;0.5607843137254902;7.70979020979021;11.755244755244755;0.4193618881118881;0.37087050880154326;27.50745757738765;0.023134951705119977;18.01794708787716;0.015153866348088445
ղ;361;0.5927750410509032;10.470914127423823;15.390581717451523;0.47354570637119114;0.5139493470518401;74.12208316387996;0.05781753756932914;21.24673690349215;0.016573117709432254
ճ;222;0.45030425963488846;7.8558558558558556;12.35135135135135;0.42849099099099097;0.4054054054054054;2.7180423666910167;0.0024053472271601917;13.312636961285614;0.011781094656004968
մ;361;0.5927750410509032;10.193905817174516;12.609418282548477;0.4596952908587258;0.41462208151958846;236.8700056015531;0.18476599500901178;54.620698122328704;0.04260584876936716
յ;79;0.3891625615763547;1.2658227848101267;12.822784810126583;0.044303797468354444;0.422242314647378;230.34786091972438;0.2588178212581173;46.55039256529403;0.05230381187111689
ն;361;0.5927750410509032;9.529085872576177;12.609418282548477;0.4264542936288088;0.41462208151958846;31.465573468589103;0.024544129070662328;54.620698122328704;0.04260584876936716
շ;300;0.6085192697768763;7.55;13.336666666666666;0.409375;0.4405952380952381;215.01334444444447;0.19027729596853493;7.093344444444448;0.006277295968534909
ո;158;0.4425770308123249;8.29746835443038;11.449367088607595;0.4560917721518988;0.5224683544303798;71.39180419804518;0.09779699205211669;20.708259894247718;0.028367479307188654
չ;216;0.5806451612903226;6.0;13.018518518518519;0.45454545454545453;0.4006172839506173;168.51886145404663;0.1525057569719879;4.074417009602197;0.00368725521230968
պ;471;0.5800492610837439;12.51592356687898;15.010615711252655;0.42651568766218445;0.5003791325447376;168.7241042007564;0.10383021796969624;63.830261313282925;0.039280160808174105
ջ;208;0.4781609195402299;7.581730769230769;14.216346153846153;0.47012362637362637;0.4720123626373626;189.98911335059174;0.17822618513188718;0.04680565828402343;4.390774698313642e-05
ռ;166;0.43915343915343913;9.5;10.30722891566265;0.5;0.4653614457831325;32.407642618667445;0.042362931527669866;44.79318478734215;0.058553182728551825
ս;157;0.43977591036414565;7.681528662420382;8.48407643312102;0.41759554140127386;0.374203821656051;132.6164955981987;0.1816664323262996;12.36171852813501;0.01693386099744522
վ;498;0.640926640926641;9.853413654618475;17.01004016064257;0.44267068273092375;0.444723337795627;224.6988959855486;0.1241430364561042;8.939859840970302;0.004939149083409007
տ;278;0.47278911564625853;13.52158273381295;9.985611510791367;0.4637623234745537;0.44928057553956835;48.79876817970084;0.039835729126286405;289.48941566171527;0.2363178903360941
ր;262;0.5314401622718052;8.973282442748092;16.629770992366414;0.49833015267175573;0.5582061068702291;129.28210768603225;0.11440894485489579;0.39661150282617746;0.00035098363081962605
ց;213;0.40804597701149425;7.44131455399061;14.131455399061032;0.37890085611709473;0.46898054996646543;192.3365293482334;0.1650957333461231;8.228548127576103;0.007063131439979487
ո;158;0.4425770308123249;8.29746835443038;11.449367088607595;0.4560917721518988;0.5224683544303798;71.39180419804518;0.09779699205211669;20.708259894247718;0.028367479307188654
ւ;136;0.5396825396825397;7.5;8.0;0.5909090909090909;0.35;64.0;0.1094017094017094;9.0;0.015384615384615385
փ;666;0.6428571428571429;13.51951951951952;17.97897897897898;0.4636859081303526;0.47163830497163833;324.7571986400815;0.15083938627035834;81.37882026170314;0.03779787285727038
ք;299;0.5155172413793103;9.919732441471572;15.842809364548495;0.4694596021827143;0.5301003344481605;147.79728414670976;0.1190953135751086;9.967852708582676;0.008032113383225363
ե;262;0.5019157088122606;9.759541984732824;11.961832061068701;0.515267175572519;0.39149400218102504;257.2228308373638;0.22079212947413202;25.383136180875248;0.021788099726073176
ւ;136;0.5396825396825397;7.5;8.0;0.5909090909090909;0.35;64.0;0.1094017094017094;9.0;0.015384615384615385
օ;189;0.47368421052631576;9.095238095238095;10.0;0.4497354497354497;0.45;100.0;0.12468827930174564;64.0;0.0798004987531172
ֆ;560;0.5821205821205822;12.75;19.082142857142856;0.47;0.502281746031746;286.2138903061225;0.13995789257023106;35.02103316326532;0.01712519959083879
